计算机工作地区,数量
山东,1608
福建,1348
河南,994
河北,490
重庆,1161
湖北,4686
湖南,1718
海南,145
江西,370
黑龙江,471
天津,1273
陕西,2737
贵州,275
新疆,279
江苏,7829
安徽,1359
西藏,4
上海,16973
吉林,365
甘肃,159
山西,151
宁夏,74
四川,3970
浙江,5920
广西,242
云南,752
内蒙古,81
null,1217
辽宁,2314
广东,23298
青海,90
北京,11038
